Time,PV [kWh],WT [kWh],Load [kWh],Battery [kWh],Diesel [kWh],Electric Grid[$]
00:00,0,0.17,0.0322466667,0,0,0.5
00:05,0,0.17,0.0152333333,0,0,0.5
00:10,0,0.21,0.0221625,0,0,0.5
00:15,0,0.21,0.023085,0,0,0.5
00:20,0,0.22,0.0214325,0,0,0.5
00:25,0,0.22,0.0188075,0,0,0.5
00:30,0,0.24,0.0108508333,0,0,0.5
00:35,0,0.24,0.0108733333,0,0,0.5
00:40,0,0.23,0.01183,0,0,0.5
00:45,0,0.23,0.0108175,0,0,0.5
00:50,0,0.22,0.0183116667,0,0,0.5
00:55,0,0.22,0.0219258333,0,0,0.5
01:00,0,0.23,0.0213266667,0,0,0.5
01:05,0,0.23,0.0191641667,0,0,0.5
01:10,0,0.25,0.0107516667,0,0,0.5
01:15,0,0.25,0.0107041667,0,0,0.5
01:20,0,0.14,0.0104783333,0,0,0.5
01:25,0,0.14,0.0104991667,0,0,0.5
01:30,0,0.15,0.01661,0,0,0.5
01:35,0,0.15,0.0223125,0,0,0.5
01:40,0,0.18,0.0224708333,0,0,0.5
01:45,0,0.18,0.0208708333,0,0,0.5
01:50,0,0.2,0.0115041667,0,0,0.5
01:55,0,0.2,0.0104575,0,0,0.5
02:00,0,0.18,0.0104183333,0,0,0.5
02:05,0,0.18,0.0104291667,0,0,0.5
02:10,0,0.16,0.0137433333,0,0,0.5
02:15,0,0.16,0.0227391667,0,0,0.5
02:20,0,0.14,0.02147,0,0,0.5
02:25,0,0.14,0.0206383333,0,0,0.5
02:30,0,0.2,0.0134025,0,0,0.5
02:35,0,0.2,0.01072,0,0,0.5
02:40,0,0.23,0.0103825,0,0,0.5
02:45,0,0.23,0.0103925,0,0,0.5
02:50,0,0.22,0.0115425,0,0,0.5
02:55,0,0.22,0.0205183333,0,0,0.5
03:00,0,0.23,0.0214258333,0,0,0.5
03:05,0,0.23,0.0206716667,0,0,0.5
03:10,0,0.22,0.0163016667,0,0,0.5
